ID,DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,Latitude,Longitude,PREP_TIME
55,ANNA MARIA PIZZA PASTA,Brooklyn,BEDFORD AVENUE,11211,7185994550,Pizza,40.71800103,-73.95752604,3
56,ANTHONY'S PIZZA,Bronx,MORRIS PARK AVENUE,10462,7187926020,Pizza,40.84535257,-73.86550564,4
57,ANTICA TRATTORIA,Queens,FRESH POND RD,11385,7183861559,Italian,40.70486382,-73.89614799,1
58,ANTONIO'S,Queens,21ST AVE,11370,7187289200,Italian,40.77042566,-73.89355787,3
59,ANTONIO'S PIZZA,Brooklyn,FLATBUSH AVENUE,11238,7183982033,Pizza,40.67703709,-73.97236965,1
60,ARASHI,Brooklyn,AVENUE U,11234,7182517800,Japanese,40.61741923,-73.91078254,1
61,ARBY'S,Queens,METROPOLITAN AVE,11379,7182556254,Sandwiches,40.71219982,-73.88662814,3
62,ARBY'S,Queens,HORACE HARDING EXPY,11365,9174951640,Sandwiches,40.73837518,-73.79465561,1
63,ARDYN,Manhattan,WEST    8 STREET,10011,9144177973,American,40.73304745,-73.99821752,3
64,ARIA KABAB,Queens,KISSENA BOULEVARD,11367,7187932984,Afghan,40.7275873,-73.81339628,4
65,ARIA KABAB,Queens,STEINWAY ST,11103,7187775432,Middle Eastern,40.7675401,-73.91203194,0
66,ARICCIA,Manhattan,BEDFORD STREET,10014,6463746202,Coffee/Tea,40.72907299,-74.00349258,4
67,ARIS POLLOS A LA BRASA,Brooklyn,KNICKERBOCKER AVENUE,11221,7183819400,Spanish,40.69456686,-73.91089167,0
68,ARMANDO'S PIZZA,Brooklyn,PENNSYLVANIA AVENUE,11239,7186428253,Pizza,40.64798374,-73.88192681,2
69,ARMANDO'S PIZZA,Brooklyn,ROCKAWAY PARKWAY,11236,7182579723,Pizza,40.64551103,-73.90272704,4
70,ARMANDO'S PIZZA,Brooklyn,BROADWAY,11207,7184848500,Pizza,40.68344268,-73.91139335,1
71,AROQA,Manhattan,9 AVENUE,10011,6466785471,Indian,40.74622506,-74.00150133,3
72,ART OF GRILL,Queens,QUEENS BLVD,11374,7189977779,Jewish/Kosher,40.72963107,-73.86097383,2
73,ASHBOX,Brooklyn,MANHATTAN AVENUE,11222,7183893222,Sandwiches,40.7377351,-73.95544212,1
74,ASHOKA GRILL,Brooklyn,FLATBUSH AVENUE,11210,7184341001,Indian,40.63562205,-73.95063936,2
75,ASIA HARBOR,Brooklyn,CHURCH AVENUE,11218,7188710635,Japanese,40.64405399,-73.97641559,4
76,ASIA ROMA,Manhattan,MULBERRY STREET,10013,9177238102,American,40.71483045,-73.99961402,1
77,ASIAN CHAO,Bronx,LAGUARDIA INTL AIRPORT,11370,7188986665,Asian/Asian Fusion,,,3
78,ASIAN FOOD LTD,Queens,PARSONS BLVD,11432,7186583841,Filipino,40.71487214,-73.80758102,1
79,ASV FOODS,Brooklyn,FULTON STREET,11233,7184930808,Caribbean,40.67928298,-73.92916959,1
80,ATLA,Manhattan,LAFAYETTE STREET,10012,6468376464,Mexican,40.72713233,-73.99376549,2
81,ATOBOY,Manhattan,EAST   28 STREET,10016,6464767217,Asian/Asian Fusion,40.74378677,-73.98516767,2
82,ATOMIC WINGS,Brooklyn,PARKSIDE AVENUE,11226,9177573750,Chicken,40.65507019,-73.96134688,1
83,ATOMIC WINGS,Manhattan,2 AVENUE,10022,6468337199,Chicken,40.75597815,-73.96770218,3
84,ATOMIC WINGS,Queens,MYRTLE AVE,11385,9174064476,Spanish,40.70063716,-73.89646476,4
85,ATOMIX,Manhattan,EAST   30 STREET,10016,6466968901,Korean,40.74436283,-73.98274238,1
86,AYAT,Brooklyn,3 AVENUE,11209,7188312585,Middle Eastern,40.62416908,-74.03077844,3
87,AYNA AGRA,Queens,39 AVENUE,11361,7182251201,Indian,40.76536496,-73.77166647,2
88,B.GOOD,Brooklyn,MONTAGUE STREET,11201,7185224663,American,40.69462053,-73.99367118,3
89,BABA COOL,Brooklyn,WITHERS STREET,11211,9144840914,American,40.71679613,-73.95080988,4
90,BABS,Manhattan,MACDOUGAL STREET,10012,6318755016,English,40.72829901,-74.00190502,5
91,BABY GRAND,Brooklyn,MCGUINNESS BLVD SOUTH,11222,6099036897,American,40.72149013,-73.94570522,5
92,BACI & ABBRACCI,Brooklyn,GRAND STREET,11211,7185996599,Italian,40.71409623,-73.96034217,2
93,BAD BOYS PIZZA,Brooklyn,86 STREET,11214,7182664848,Pizza,40.6003701,-73.99124223,3
94,BAHAR MASALA,Brooklyn,CONEY ISLAND AVENUE,11230,7184348088,Afghan,40.63353371,-73.96714918,1
95,BAMBOO YA,Queens,AUSTIN ST,11375,7182688388,Japanese,40.72151549,-73.84852285,1
96,BAMBOO YA,Queens,QUEENS BLVD,11374,7188061228,Japanese,40.7296531,-73.86103513,3
97,BANDITS,Manhattan,BEDFORD STREET,10014,6177591522,American,40.73035203,-74.00423953,4
98,BANGKOK BAR,Brooklyn,36 STREET,11232,9172447158,Thai,40.65588072,-74.00705315,3
99,BANH MI ZON,Manhattan,EAST    6 STREET,10009,6465246384,Asian/Asian Fusion,40.72598148,-73.98516804,4
100,BANHMIGOS,Brooklyn,PARK PLACE,11238,7184839933,Southeast Asian,40.67420797,-73.9569556,1
101,BAO BAO,Manhattan,WEST   39 STREET,10018,9176782265,Chinese,40.75441492,-73.98904903,1
102,BAR 180,Manhattan,BROADWAY,10033,6469283283,American,40.84963503,-73.93631068,1
103,BAR 314,Manhattan,AMSTERDAM AVENUE,10027,9178730719,Pizza,40.81071918,-73.95821081,1
104,BAR 718,Brooklyn,5 AVENUE,11215,7184992661,Bottled Beverages,40.66042341,-73.99439169,3
105,BARB'S,Brooklyn,MARCUS GARVEY BOULEVARD,11221,9178868086,Other,40.68405042,-73.93826503,1
106,BARCHA,Manhattan,1 AVENUE,10029,6464550046,Latin American,40.79546177,-73.93581013,3
107,BARDOLINO PIZZA II,Manhattan,AMSTERDAM AVENUE,10024,6468858316,Pizza,40.78355716,-73.978009,5
108,BARI SANDWICH SHOP,Brooklyn,58 STREET,11220,7187650170,Sandwiches,40.64539907,-74.02294706,4
109,BARN JOO,Manhattan,UNION SQUARE WEST,10003,6463989663,Korean,40.736758,-73.99059997,5
110,BARON'S,Brooklyn,DEKALB AVENUE,11205,7182307100,American,40.69105973,-73.95398056,3
111,BARRYS BOOTCAMP,Manhattan,WEST   69 STREET,10023,9178280229,"Juice, Smoothies, Fruit Salads",40.77526557,-73.97973398,3
112,BASH PIZZA,Brooklyn,AVENUE J,11210,7183394860,Jewish/Kosher,40.62679307,-73.946712,1
113,BASIL,Brooklyn,KINGSTON AVENUE,11213,7182858777,Jewish/Kosher,40.67022426,-73.94212785,3
114,BASKIN ROBBINS,Brooklyn,FLATLAND AVENUE,11207,7182728395,Frozen Desserts,40.65026264,-73.89097182,3
115,BAYA BAR,Brooklyn,AVENUE Z,11235,6466201507,"Juice, Smoothies, Fruit Salads",40.58809168,-73.9532201,3
116,BAYA BAR,Brooklyn,BAY RIDGE AVENUE,11220,9178382222,"Juice, Smoothies, Fruit Salads",40.63611526,-74.02731069,5
117,BAYA BAR,Brooklyn,3 AVENUE,11209,9178982222,"Juice, Smoothies, Fruit Salads",40.61775928,-74.03337252,2
118,BAYA BAR,Manhattan,MULBERRY STREET,10012,6466697170,"Juice, Smoothies, Fruit Salads",40.72264748,-73.99597743,5
119,BAYA BAR MILL BASIN,Brooklyn,AVENUE N,11234,7182415969,"Juice, Smoothies, Fruit Salads",40.61958114,-73.91677713,3
120,BHANCHHA GHAR II INC,Queens,ROOSEVELT AVE,11372,6468619147,Other,40.74686794,-73.89122453,0
121,BIA BAR & GRILL,Brooklyn,SOUTH    6 STREET,11249,7183841264,Southeast Asian,40.71120504,-73.96593846,2
122,BIGA,Manhattan,CLINTON STREET,10002,9172658453,Italian,40.72116426,-73.98399304,1
123,BILLIARD COMPANY,Queens,AUSTIN STREET,11375,7185207665,American,40.72043279,-73.84552021,2
124,BILLY'S PIZZA PASTA,Brooklyn,BEDFORD AVENUE,11225,7187597587,Pizza,40.66709603,-73.95637264,4
125,BIRDY'S,Brooklyn,MYRTLE AVE,11221,9176588941,American,40.6976003,-73.93154106,2
126,BISTRO SO,Brooklyn,DRIGGS AVENUE,11211,9173190913,French,40.71750088,-73.9559427,3
127,BK9,Brooklyn,5 AVENUE,11217,7187892176,Caribbean,40.68114161,-73.97726413,0
128,BKLYN PIZZA COMPANY,Queens,CYPRESS AVENUE,11385,9292950808,Pizza,40.70815181,-73.91977528,1
129,BLACK FLAMINGO,Brooklyn,BORINQUEN PLACE,11211,7183873337,Vegetarian,40.71066835,-73.95389483,5
130,BLACK IRIS,Brooklyn,DEKALB AVENUE,11205,7188525556,Mediterranean,40.68949785,-73.97028387,2
131,BLACK TAP,Manhattan,BROOME STREET,10013,9176393089,American,40.7239183,-74.00414531,1
132,BLACK THAI,Queens,NORTHERN BLVD,11372,7187798424,Thai,40.75547049,-73.88605249,5
133,BLANK BROOKLYN,Brooklyn,NASSAU AVENUE,11222,9175454579,Bakery Products/Desserts,40.72551651,-73.94529063,2
134,BLISS 46 BISTRO,Queens,46 STREET,11104,7183610690,Mexican,40.7441458,-73.91851198,1
135,BOBO'S CRAB SHACK,Bronx,GRAND CONCOURSE,10458,9176051616,Seafood,40.8611132,-73.89784805,5
136,BOCADITO BISTRO,Manhattan,BROADWAY,10034,6466494212,Eastern European,40.86677923,-73.9237772,2
137,BOGATY,Brooklyn,AVENUE L,11236,7182850700,Bagels/Pretzels,40.63781752,-73.89659143,0
138,BOGOTA LATIN BISTRO,Brooklyn,5 AVENUE,11217,7182303805,Latin American,40.67820507,-73.97923001,1
139,BOISHAKHI,Queens,36TH AVE,11106,7186061242,Bangladeshi,40.75722464,-73.93115468,1
140,BOKA,Manhattan,PELL STREET,10013,6462214684,Chicken,40.71484141,-73.99818915,0
141,BOMBAY MASALA INDIAN DINING,Brooklyn,3 AVENUE,11209,6466645586,Indian,40.63338427,-74.02698891,3
142,BOMBAY SANDWICH CO,Manhattan,WEST   27 STREET,10001,6467819756,Vegetarian,40.74492086,-73.98982651,2
143,BONA PIZZA,Brooklyn,FLATBUSH AVE,11226,7188568226,Pizza,40.64100132,-73.95614835,1
144,BOON THAI,Brooklyn,MANHATTAN AVENUE,11222,7183498215,Thai,40.72495936,-73.9514821,0
145,BOSTON PIZZA,Queens,BROADWAY,11103,7185456001,Pizza,40.75965781,-73.92044939,2
146,BOWL 360,Queens,ROCKAWAY BLVD,11417,7188435553,American,40.68011089,-73.8406746,0
147,BOWL 360 ASTORIA,Queens,49TH ST,11105,6462610924,American,40.77337187,-73.89473015,4
148,BRANCACCIO'S FOOD SHOP,Brooklyn,FORT HAMILTON PARKWAY,11218,7184351997,Sandwiches,40.64839391,-73.97856904,4
149,BRAVAZO,Queens,57TH AVE,11368,9296667676,Peruvian,40.73730855,-73.86356308,3
150,BRAVO PIZZA,Manhattan,WEST   37 STREET,10018,9177477156,Jewish/Kosher,40.75193069,-73.98694162,0
151,bravo pizza,Queens,MAIN ST,11367,7182610196,Pizza,40.73060925,-73.82378281,1
152,BRICIOLA,Manhattan,WEST   51 STREET,10019,6466785763,Italian,40.76385403,-73.98791756,4
153,BRICKLYN PIZZA,Brooklyn,HANCOCK STREET,11221,7187585858,Pizza,40.69256587,-73.91082584,2
154,BROADWAY CHINA STATION,Queens,31 STREET,11106,7185458888,Chinese,40.76160461,-73.92568488,3
155,BROADWAY PIZZA,Brooklyn,BROADWAY,11221,7186026110,Pizza,40.69340746,-73.9289562,4
156,BROADWAY PIZZA & PASTA,Bronx,WEST  231 STREET,10463,7186015000,Pizza,40.87878671,-73.90446375,4
157,BRODO,Manhattan,LEXINGTON AVENUE,10028,6468442996,Soups,40.77808077,-73.95662461,2
158,BRODO BROTH CO,Manhattan,SPRING STREET,10012,6468442996,Soups,40.72235383,-73.99724374,3
159,BRODO BROTH SHOP,Manhattan,BROADWAY,10023,6468581494,Soups,40.78127684,-73.9812126,0
160,BROOKLYN BALL FACTORY,Brooklyn,MONTROSE AVENUE,11206,7183875092,Japanese,40.70707742,-73.94585406,1
161,BROOKLYN CHCKN 'N' LBSTR,Brooklyn,MOTHER GASTON BOULEVARD,11212,9293005987,Other,40.66815859,-73.90647885,2
162,BROOKLYN KAVA,Brooklyn,WILSON AVENUE,11237,7047639030,Coffee/Tea,40.70053341,-73.92545028,1
163,BROOKLYN ROASTING COMPANY,Brooklyn,WEST STREET,11222,7188551000,Coffee/Tea,40.72865403,-73.95908149,3
164,BROOKLYN ROASTING COMPANY,Brooklyn,WASHINGTON AVENUE,11205,7188551000,Coffee/Tea,40.6974515,-73.96769097,2
165,BROOKLYN SHAWARMA,Brooklyn,FULTON STREET,11238,7185763398,Middle Eastern,40.68264199,-73.96286678,4
166,BROOKVIN,Brooklyn,7 AVENUE,11215,9176761008,Tapas,40.66533816,-73.98286023,1
167,BZ GRILL,Queens,ASTORIA BOULEVARD,11102,7189327858,Greek,40.77081283,-73.9209234,1
168,CANAL BAR,Brooklyn,3 AVENUE,11215,7182460011,American,40.67784651,-73.98577366,1
169,CAPRI II PIZZA,Bronx,DREISER LOOP,10475,7186713822,Pizza,40.87651579,-73.82991803,2
170,CAPRI PIZZA,Bronx,WESTCHESTER AVENUE,10461,7185105400,Pizza,40.83721212,-73.84617679,0
171,CAPRIOTTIS  NYC,Manhattan,2 AVENUE,10128,6465901500,Sandwiches/Salads/Mixed Buffet,40.77951657,-73.95055756,3
172,CAPRIOTTI'S SANDWICH SHOP,Brooklyn,LIVINGSTON STREET,11201,9175592812,Sandwiches,40.69139797,-73.9907939,1
173,CAPY,Bronx,EAST FORDHAM ROAD,10468,9292465528,Bakery Products/Desserts,40.86254277,-73.90047779,0
174,CARAVAN,Brooklyn,MCDONALD AVENUE,11230,7183757777,Russian,40.60945252,-73.97310724,3
175,CARDIFF GIANT,Brooklyn,MYRTLE AVENUE,11205,9293377873,American,40.69312615,-73.96920042,1
176,CARIDAD,Bronx,WILLIAMSBRIDGE ROAD,10461,7188928322,Latin American,40.84304845,-73.84488379,1
177,CARLOS PIZZA,Queens,METROPOLITAN AVENUE,11379,7188947915,Pizza,40.71282521,-73.87819353,2
178,CASA APICII,Manhattan,WEST    9 STREET,10011,9175730571,Italian,40.73395323,-73.99858554,2
179,CASA TOSCANA,Manhattan,WEST   42 STREET,10036,7186078306,Sandwiches,40.75406824,-73.98232117,4
180,CASCARINO'S,Queens,10 AVENUE,11357,7187464370,Italian,40.79339844,-73.80834996,0
181,CASITA OF BK,Brooklyn,11 STREET,11215,9175136773,Coffee/Tea,40.66822905,-73.98785925,5
182,CAVA,Manhattan,SPRING STREET,10012,7183030181,Mediterranean,40.72202992,-73.99650418,2
183,CAVA GRILL,Manhattan,BROADWAY,10018,7185029282,Mediterranean,40.75260595,-73.98738904,0
184,CHA CHA MATCHA,Manhattan,BROADWAY,10001,7033719738,Coffee/Tea,40.74448158,-73.98851295,1
185,CHA CHA MATCHA,Manhattan,LAFAYETTE STREET,10012,9179575017,Coffee/Tea,40.72560355,-73.99489489,3
186,CHA CHA MATCHA,Manhattan,5 AVENUE,10017,7033719738,Other,40.75330773,-73.98099313,0
187,CHAAC PIZZA,Brooklyn,AVENUE D,11236,7184510236,Pizza,40.6460269,-73.91276933,2
188,CHACHAWAN,Queens,WOODWARD AVENUE,11385,6462078989,Thai,40.70255763,-73.90171658,1
189,CHADWICK'S,Brooklyn,3 AVENUE,11209,7188339855,American,40.62183575,-74.03173555,4
190,CHAIWALI,Manhattan,LENOX AVENUE,10027,6466885414,Indian,40.80691266,-73.94609764,2
191,CHALAIT,Manhattan,AMSTERDAM AVENUE,10024,6465903133,Coffee/Tea,40.78522847,-73.9767915,2
192,CHALAIT,Manhattan,HUDSON STREET,10014,6469228436,Coffee/Tea,40.7284278,-74.00715106,1
193,CHAMPION PIZZA,Queens,BROADWAY,11106,7184339949,Pizza,40.76187053,-73.92520087,4
194,CHANG HONG,Brooklyn,IRVING AVENUE,11237,7188215988,Chinese,40.6967623,-73.91040549,5
195,CHANO'S CANTINA,Queens,31ST ST,11106,9178327261,Mexican,40.75728655,-73.92916213,1
196,CHARM BAR,Brooklyn,DEAN STREET,11217,6462266232,Other,40.68194835,-73.97618221,3
197,CHARM THAI CORP,Manhattan,AMSTERDAM AVENUE,10027,6467264548,Thai,40.81374033,-73.9560088,3
198,CHARM'S,Manhattan,8 AVENUE,10011,6465908994,Thai,40.74355168,-73.99973656,2
199,CHAWLAS^2,Queens,ROCKAWAY BLVD,11420,7188801766,Indian,40.67486616,-73.80709123,4
200,CHIC O CHIC,Queens,HILLSIDE AVE,11004,7182003000,Pakistani,40.73699544,-73.7099002,5
201,CHICAGO'S PIZZA WITH A TWIST,Queens,ATLANTIC AVE,11419,7185813356,Pizza,40.69361569,-73.82956421,4
202,CHICAGO'S PIZZA WITH-A-TWIST,Queens,ATLANTIC AVE,11419,6469617902,Pizza,40.69361569,-73.82956421,2
203,CHICANITO,Bronx,EAST  153 STREET,10455,6467855832,Mexican,40.81869133,-73.91575762,5
204,CHICK-FIL-A,Manhattan,EAST   42 STREET,10017,9172616415,Chicken,40.75269531,-73.97906954,2
205,CHICK-FIL-A,Manhattan,8 AVENUE,10036,7185046528,Chicken,40.75769769,-73.98945998,1
206,CHICK-FIL-A,Queens,QUEENS BLVD,11373,7182711755,Chicken,40.73384018,-73.87157703,3
207,CHICK-FIL-A,Brooklyn,FLATBUSH AVENUE,11217,9178100455,Other,40.68283774,-73.97659292,0
208,CHICKN ROTONDA,Queens,DRY HARBOR RD,11379,9294132645,Filipino,40.71844596,-73.87264215,1
209,CHICKY'S,Queens,JERICHO TPKE,11426,7183473300,Chicken,40.72631456,-73.71721681,0
210,CHIKARASHI,Manhattan,CANAL STREET,10013,6466495965,Japanese,40.71774265,-73.99957072,3
211,CHIKARASHI ISSO,Manhattan,RECTOR STREET,10006,6465968298,Japanese,40.70833538,-74.01476309,4
212,CHILI'S GRILL & BAR,Queens,COOPER AVENUE,11385,7183664272,Tex-Mex,40.70944514,-73.86956824,5
213,CHILO'S,Brooklyn,FRANKLIN AVENUE,11238,9176979921,Tex-Mex,40.68834636,-73.95709788,3
214,CHINA 1,Brooklyn,86 STREET,11223,7186765211,Chinese,40.59207073,-73.9774782,3
215,CHINA CITY,Bronx,EAST  188 STREET,10458,7187418888,Chinese,40.86066335,-73.89511926,4
216,CHINA CITY,Brooklyn,NOSTRAND AVENUE,11226,7186647727,Chinese,40.65576303,-73.95011623,4
217,CHINA DOLL,Brooklyn,LINDEN BOULEVARD,11208,7189751051,Chinese,40.66734718,-73.87082961,1
218,CHINA DRAGON,Brooklyn,CHURCH AVENUE,11226,7188568656,Chinese,40.64881317,-73.96467671,1
219,CHINA DRAGON,Brooklyn,18 AVENUE,11218,9176246620,Chinese,40.63112057,-73.97638055,3
220,CHINA DRAGON,Queens,37 STREET,11105,7186268172,Chinese,40.77843407,-73.90191107,1
221,CHINA GLATT,Brooklyn,13 AVENUE,11219,7184382576,Jewish/Kosher,40.6376798,-73.98933489,1
222,CHINA I,Brooklyn,4 AVENUE,11220,9176716518,Chinese,40.64301501,-74.01617551,1
223,CHINA KING,Bronx,EAST  233 STREET,10466,7189946809,Chinese,40.88862693,-73.84246232,2
224,CHINA KING,Bronx,MORRIS AVENUE,10451,7185858705,Chinese,40.81849554,-73.92224304,4
225,CHINA KING,Queens,HILLSIDE AVE,11432,7185265400,Chinese,40.71185292,-73.78739715,1
226,CHINA LONG,Brooklyn,NEPTUNE AVENUE,11235,7183325807,Chinese,40.58181439,-73.96062623,3
227,CHINA MIA,Bronx,WHITE PLAINS ROAD,10467,7187086300,Chinese,40.85847479,-73.86755406,1
228,CHINA MOON OF KINGS,Brooklyn,RUTLAND ROAD,11212,7187357796,Chinese,40.66392566,-73.92442442,4
229,CHINA STAR,Bronx,JEROME AVENUE,10453,7182994916,Chinese,40.84833984,-73.91187407,2
230,CHINA STAR,Brooklyn,PENNSYLVANIA AVENUE,11239,7186421755,Chinese,40.64795077,-73.88189084,1
231,CHINA WOK,Bronx,EAST TREMONT AVENUE,10465,7188288076,Chinese,40.82398014,-73.82001894,0
232,CHINA WOK,Bronx,BOSTON ROAD,10469,7186527931,Chinese,40.87602428,-73.84946042,3
233,CHINA WOK,Brooklyn,5 AVENUE,11232,7186336661,Chinese,40.65133002,-74.00384888,4
234,CHINA WOK III,Bronx,WEBSTER AVE,10458,7185842488,Chinese,40.86014534,-73.89295098,5
235,CHINAH,Manhattan,MAIDEN LANE,10038,6096186815,Chinese,40.70685943,-74.00699004,1
236,CHIP CITY,Brooklyn,SMITH STREET,11231,9174598377,Bakery Products/Desserts,40.67958199,-73.99528781,1
237,CHISPA,Brooklyn,SAINT NICHOLAS AVENUE,11237,7183664689,Coffee/Tea,40.70242677,-73.91300902,4
238,CHOBANI SOHO,Manhattan,PRINCE STREET,10012,6073371246,American,40.72583696,-74.00106432,1
239,CHONG QING HOT POT,Queens,PRINCE ST,11354,9175637171,Chinese,40.76071382,-73.83292581,4
240,CHONGKHO,Brooklyn,GRAND STREET,11211,7184766705,Thai,40.71110014,-73.94944703,4
241,CHOP & GO,Manhattan,JOHN STREET,10038,9176756522,Salads,40.70836083,-74.0067305,2
242,CHOP T,Manhattan,ASTOR PL,10003,6469791990,Salads,40.73017605,-73.99046019,0
243,CHOPSTICK,Brooklyn,REMSEN AVENUE,11236,7186298555,Chinese,40.64637828,-73.91283373,1
244,CHOPSTIX,Brooklyn,5 AVENUE,11209,7182381300,Chinese,40.62272115,-74.02539238,0
245,CHOP'T,Manhattan,WEST   56 STREET,10019,6467831600,Salads,40.76401186,-73.97857862,2
