ID,DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,LATIDUDE,LONGITUDE,PREP_TIME
22,BABS,Manhattan,MACDOUGAL STREET,10012,6318755016,English,40.72829901,-74.00190502,5
23,BANDITS,Manhattan,BEDFORD STREET,10014,6177591522,American,40.73035203,-74.00423953,4
24,BANH MI ZON,Manhattan,EAST    6 STREET,10009,6465246384,Asian/Asian Fusion,40.72598148,-73.98516804,4
25,BAO BAO,Manhattan,WEST   39 STREET,10018,9176782265,Chinese,40.75441492,-73.98904903,1
26,BAR 180,Manhattan,BROADWAY,10033,6469283283,American,40.84963503,-73.93631068,1
27,BAR 314,Manhattan,AMSTERDAM AVENUE,10027,9178730719,Pizza,40.81071918,-73.95821081,1
28,BARCHA,Manhattan,1 AVENUE,10029,6464550046,Latin American,40.79546177,-73.93581013,3
29,BARDOLINO PIZZA II,Manhattan,AMSTERDAM AVENUE,10024,6468858316,Pizza,40.78355716,-73.978009,5
30,BARN JOO,Manhattan,UNION SQUARE WEST,10003,6463989663,Korean,40.736758,-73.99059997,5
31,BARRYS BOOTCAMP,Manhattan,WEST   69 STREET,10023,9178280229,"Juice, Smoothies, Fruit Salads",40.77526557,-73.97973398,3
32,BAYA BAR,Manhattan,MULBERRY STREET,10012,6466697170,"Juice, Smoothies, Fruit Salads",40.72264748,-73.99597743,5
33,BIGA,Manhattan,CLINTON STREET,10002,9172658453,Italian,40.72116426,-73.98399304,1
34,BLACK TAP,Manhattan,BROOME STREET,10013,9176393089,American,40.7239183,-74.00414531,1
35,BOCADITO BISTRO,Manhattan,BROADWAY,10034,6466494212,Eastern European,40.86677923,-73.9237772,2
36,BOKA,Manhattan,PELL STREET,10013,6462214684,Chicken,40.71484141,-73.99818915,0
37,BOMBAY SANDWICH CO,Manhattan,WEST   27 STREET,10001,6467819756,Vegetarian,40.74492086,-73.98982651,2
38,BRAVO PIZZA,Manhattan,WEST   37 STREET,10018,9177477156,Jewish/Kosher,40.75193069,-73.98694162,0
39,BRICIOLA,Manhattan,WEST   51 STREET,10019,6466785763,Italian,40.76385403,-73.98791756,4
40,BRODO,Manhattan,LEXINGTON AVENUE,10028,6468442996,Soups,40.77808077,-73.95662461,2
41,BRODO BROTH CO,Manhattan,SPRING STREET,10012,6468442996,Soups,40.72235383,-73.99724374,3
42,BRODO BROTH SHOP,Manhattan,BROADWAY,10023,6468581494,Soups,40.78127684,-73.9812126,0
43,CAPRIOTTIS  NYC,Manhattan,2 AVENUE,10128,6465901500,Sandwiches/Salads/Mixed Buffet,40.77951657,-73.95055756,3
44,CASA APICII,Manhattan,WEST    9 STREET,10011,9175730571,Italian,40.73395323,-73.99858554,2
45,CASA TOSCANA,Manhattan,WEST   42 STREET,10036,7186078306,Sandwiches,40.75406824,-73.98232117,4
46,CAVA,Manhattan,SPRING STREET,10012,7183030181,Mediterranean,40.72202992,-73.99650418,2
47,CAVA GRILL,Manhattan,BROADWAY,10018,7185029282,Mediterranean,40.75260595,-73.98738904,0
48,CHA CHA MATCHA,Manhattan,BROADWAY,10001,7033719738,Coffee/Tea,40.74448158,-73.98851295,1
49,CHA CHA MATCHA,Manhattan,LAFAYETTE STREET,10012,9179575017,Coffee/Tea,40.72560355,-73.99489489,3
50,CHA CHA MATCHA,Manhattan,5 AVENUE,10017,7033719738,Other,40.75330773,-73.98099313,0
51,CHAIWALI,Manhattan,LENOX AVENUE,10027,6466885414,Indian,40.80691266,-73.94609764,2
52,CHALAIT,Manhattan,AMSTERDAM AVENUE,10024,6465903133,Coffee/Tea,40.78522847,-73.9767915,2
53,CHALAIT,Manhattan,HUDSON STREET,10014,6469228436,Coffee/Tea,40.7284278,-74.00715106,1
54,CHARM THAI CORP,Manhattan,AMSTERDAM AVENUE,10027,6467264548,Thai,40.81374033,-73.9560088,3
55,CHARM'S,Manhattan,8 AVENUE,10011,6465908994,Thai,40.74355168,-73.99973656,2
56,CHICK-FIL-A,Manhattan,EAST   42 STREET,10017,9172616415,Chicken,40.75269531,-73.97906954,2
57,CHICK-FIL-A,Manhattan,8 AVENUE,10036,7185046528,Chicken,40.75769769,-73.98945998,1
58,CHIKARASHI,Manhattan,CANAL STREET,10013,6466495965,Japanese,40.71774265,-73.99957072,3
59,CHIKARASHI ISSO,Manhattan,RECTOR STREET,10006,6465968298,Japanese,40.70833538,-74.01476309,4
60,CHINAH,Manhattan,MAIDEN LANE,10038,6096186815,Chinese,40.70685943,-74.00699004,1
61,CHOBANI SOHO,Manhattan,PRINCE STREET,10012,6073371246,American,40.72583696,-74.00106432,1
62,CHOP & GO,Manhattan,JOHN STREET,10038,9176756522,Salads,40.70836083,-74.0067305,2
63,CHOP T,Manhattan,ASTOR PL,10003,6469791990,Salads,40.73017605,-73.99046019,0
64,CHOP'T,Manhattan,WEST   56 STREET,10019,6467831600,Salads,40.76401186,-73.97857862,2
65,CHOP'T,Manhattan,EAST   23 STREET,10010,6467557837,Salads,40.74105336,-73.98844498,0
66,CHOP'T,Manhattan,EAST   17 STREET,10003,6463365523,Salads,40.73735364,-73.990903,3
67,CHOP'T,Manhattan,PINE STREET,10005,9173384803,Salads,40.70588502,-74.0071811,3
68,CICCIO,Manhattan,6 AVENUE,10013,6464769498,Italian,40.72640782,-74.00365119,3
69,CIPRIANI,Manhattan,WALL STREET,10005,6467230812,American,40.70618406,-74.00916487,1
70,CITY PIZZA,Manhattan,9 AVENUE,10036,6463603231,Pizza,40.7598772,-73.99158576,2
71,CITY SANDWICH,Manhattan,9 AVENUE,10036,6466843943,Sandwiches/Salads/Mixed Buffet,40.76061001,-73.99105142,2
72,CLAW DADDY'S,Manhattan,ORCHARD STREET,10002,6465906816,Seafood,40.72198271,-73.98825348,1
73,CLAY POT,Manhattan,BLEECKER STREET,10014,9177756159,Chinese,40.73140605,-74.00312106,0
74,CRAFT + CARRY,Manhattan,SAINT MARKS PLACE,10009,9172658078,Other,40.72728517,-73.9845977,0
75,Crazy Dogs,Manhattan,WEST   14 STREET,10014,6465257202,Hotdogs,40.74041708,-74.00409582,1
76,CRIF DOGS,Manhattan,SAINT MARKS PLACE,10009,6469228524,Hotdogs,40.72729615,-73.98457966,3
77,CRISP,Manhattan,WEST   40 STREET,10018,6468974775,Mediterranean,40.7538107,-73.98569601,2
78,DA CAPO,Manhattan,MADISON AVENUE,10029,6467070684,Coffee/Tea,40.78762321,-73.95388467,2
79,DA CAPO,Manhattan,EAST   70 STREET,10021,9175268112,Coffee/Tea,40.76670958,-73.95750207,3
80,DAILY GOODS,Manhattan,9 AVENUE,10011,7327444193,"Juice, Smoothies, Fruit Salads",40.74186904,-74.00471301,1
81,DAILY PROVISIONS,Manhattan,AMSTERDAM AVENUE,10024,7187447001,American,40.78236335,-73.97887963,4
82,DAN AND JOHN'S WINGS,Manhattan,3 AVENUE,10016,6465594663,Chicken,40.74348127,-73.97974368,3
83,DIA,Manhattan,2 AVENUE,10003,9176757664,Italian,40.72576789,-73.9897176,2
84,DIAMOND'S TRATTORIA,Manhattan,9 AVENUE,10036,6466091702,Italian,40.75982231,-73.99162547,4
85,DIG INN,Manhattan,1 AVENUE,10021,6469052184,American,40.76697823,-73.9566066,2
86,DIG INN,Manhattan,4 AVENUE,10003,6469055999,American,40.73320622,-73.98992573,0
87,DIG INN,Manhattan,BROADWAY,10012,6469052751,American,40.72814518,-73.99448339,0
88,DIPPIN DOTS AND DOC POPCORN,Manhattan,EAST   23 STREET,10010,9146564534,American,40.74073489,-73.98769804,2
89,DOMINO'S,Manhattan,3 AVENUE,10029,9143373370,Pizza,40.79379952,-73.94303486,4
90,DOS TOROS,Manhattan,BROADWAY,10025,9177810226,Mexican,40.80644515,-73.96504788,5
91,FARMSTAND BOOTH 8,Manhattan,PARK AVENUE,10169,6095400403,Salads,40.75450075,-73.97595043,1
92,FARRA,Manhattan,WORTH STREET,10013,9175762242,Scandinavian,40.71680929,-74.00566357,3
93,FAT CHOY,Manhattan,BROOME STREET,10002,7033472472,Vegan,40.7180002,-73.9898126,3
94,FIFTYLAN,Manhattan,BLEECKER STREET,10012,6464550655,Coffee/Tea,40.72924047,-74.00133859,4
95,FLAT TOP,Manhattan,AMSTERDAM AVENUE,10027,6468207735,American,40.81009079,-73.9586447,4
96,FLORA BAR,Manhattan,MADISON AVENUE,10021,6317038780,American,40.77345024,-73.96419876,5
97,FOOD STATION,Manhattan,CANAL STREET,10013,6466092115,Chinese,40.71818181,-74.00021284,3
98,FORSYTHIA,Manhattan,STANTON STREET,10002,6464505406,Italian,40.72261436,-73.99243468,3
99,GINO SORBILLO,Manhattan,BOWERY,10012,6467608049,Pizza,40.72588335,-73.99198693,0
100,GLOW,Manhattan,AVENUE OF THE AMERICAS,10011,9177330131,Vegan,40.73917095,-73.99550009,0
101,GONGCHA,Manhattan,SAINT MARK'S PLACE,10003,9179296819,Coffee/Tea,40.72892699,-73.98843626,3
102,GOOD NIGHT SONNY,Manhattan,1 AVENUE,10009,9173328432,American,40.72766952,-73.98521818,4
103,GRAB AND GO,Manhattan,WEST   47 STREET,10036,6462610405,Jewish/Kosher,40.75702662,-73.97947966,1
104,"HALL , ODO",Manhattan,WEST   20 STREET,10011,9175797290,Japanese,40.7400326,-73.99179036,1
105,HANSHIK,Manhattan,8 AVENUE,10011,6468485130,Korean,40.74355442,-73.99975821,0
106,HONG KONG STATION,Manhattan,WEST   47 STREET,10036,6464298277,Chinese,40.75867135,-73.98334147,1
107,IL FIORISTA,Manhattan,WEST   26 STREET,10010,6464908240,Mediterranean,40.74401232,-73.9895199,0
108,INDAY,Manhattan,BROADWAY,10010,9175215012,Indian,40.74351547,-73.98907248,4
109,INTI N.Y.C.,Manhattan,10 AVENUE,10019,6465969216,Peruvian,40.76746631,-73.98974363,1
110,INWOOD PIZZA,Manhattan,SHERMAN AVENUE,10034,6463090660,Pizza,40.8649009,-73.92238019,1
111,IPIZZA,Manhattan,WEST   14 STREET,10011,9172615725,Pizza,40.73873187,-74.00010465,1
112,JACK AND FANNY'S,Manhattan,2 AVENUE,10028,9172590028,American,40.77563118,-73.95338753,4
113,JAD JAAN,Manhattan,AUDUBON AVENUE,10032,9173883460,Thai,40.84133299,-73.9377318,2
114,JAJAJA,Manhattan,CARMINE STREET,10014,6507995693,Other,40.72974818,-74.00434412,2
115,JAMOY,Manhattan,THOMPSON STREET,10012,6465900122,American,40.72883425,-73.99931087,3
116,J-FOOD NYC,Manhattan,WEST   28 STREET,10001,9178851530,Chicken,40.74560153,-73.98951604,2
117,JICAMA,Manhattan,LEXINGTON AVENUE,10022,9175439004,Italian,40.75691801,-73.97206567,1
118,JING FONG,Manhattan,AMSTERDAM AVENUE,10024,6466785511,Chinese,40.78256644,-73.97875679,0
119,JJ KINAHAN'S,Manhattan,6 AVENUE,10010,6464766276,American,40.7443254,-73.99177539,3
120,KATI SHOP,Manhattan,BROADWAY,10018,9172620606,Thai,40.75204054,-73.98750465,1
121,K-BAP,Manhattan,WEST   56 STREET,10019,7186404640,Korean,40.76307272,-73.97635885,1
122,KBBQ,Manhattan,PARK AVENUE,10169,6467470816,Korean,40.75450075,-73.97595043,0
123,KFC,Manhattan,LENOX AVENUE,10039,9175661748,Chicken,40.82069162,-73.93605306,3
124,KFC,Manhattan,EAST   14 STREET,10003,9177965620,Chicken,40.7328545,-73.98618043,2
125,KHILADI,Manhattan,AVENUE B,10009,6467910351,Indian,40.72755059,-73.97939136,1
126,KIKI'S,Manhattan,DIVISION STREET,10002,6468827052,Greek,40.7144404,-73.99185845,3
127,KING,Manhattan,KING STREET,10014,9178251618,French,40.72769512,-74.00363322,4
128,KINKHAO THAI,Manhattan,AMSTERDAM AVENUE,10032,6468337939,Thai,40.84065976,-73.93634461,3
129,KLIMAT,Manhattan,EAST    7 STREET,10003,9172140589,Polish,40.72732384,-73.98656763,2
130,KONDITORI,Manhattan,BROADWAY,10018,6466960257,Coffee/Tea,40.75460407,-73.98676062,2
131,KONG SIHK TONG,Manhattan,BAYARD STREET,10013,6468506150,Chinese,40.71546996,-73.99808092,4
132,LA NACIONAL,Manhattan,WEST   14 STREET,10011,9172165259,Spanish,40.7390585,-74.00087328,5
133,LA PALAPA TACOS,Manhattan,PARK AVENUE,10169,6467470815,Tex-Mex,40.75450075,-73.97595043,2
134,LAHORI KABAB,Manhattan,LEXINGTON AVENUE,10016,6466203183,Pakistani,40.74226034,-73.98274654,3
135,LAN LARB SOHO,Manhattan,CENTRE STREET,10013,6468959264,Thai,40.7199412,-73.99840186,1
136,LATHAM & WATKINS,Manhattan,AVENUE OF THE AMERICAS,10020,6462586175,Other,40.76028202,-73.98015728,3
137,LATIN SOCIAL COCINA-BAR,Manhattan,MAIDEN LANE,10038,6464100080,American,40.70764987,-74.00775839,4
138,L'FONDA,Manhattan,AMSTERDAM AVENUE,10032,9175211631,Latin American,40.83493647,-73.94050237,1
139,LIDO,Manhattan,FREDERICK DOUGLAS BOULEVARD,10026,6464908575,Italian,40.80498417,-73.95493819,2
140,LILI AND LOO,Manhattan,3 AVENUE,10065,6315149353,Asian/Asian Fusion,40.76266109,-73.9657857,1
141,LLAMA SAN,Manhattan,6 AVENUE,10014,6464904422,Japanese,40.7321362,-74.00064948,3
142,LOS MARISCOS,Manhattan,WEST   15 STREET,10011,9175133636,Mexican,40.74193762,-74.00555385,4
143,LOS TACOS NO.1,Manhattan,PARK AVE,10017,6197409242,Tex-Mex,40.751674,-73.97767668,5
144,M.A.C.C.,Manhattan,WEST  106 STREET,10025,6467564299,Coffee/Tea,40.79882472,-73.96187348,5
145,MACCHINA NYC,Manhattan,3 AVENUE,10016,6469186553,Italian,40.74100031,-73.98154878,4
146,MADISON ST PIZZA,Manhattan,MADISON STREET,10002,6467533499,Pizza,40.71274388,-73.98879619,1
147,MAKANA,Manhattan,SAINT NICHOLAS AVENUE,10033,6468691383,Hawaiian,40.84639051,-73.93587646,3
148,MAKITO,Manhattan,WEST   14 STREET,10014,9176560870,Japanese,40.74041708,-74.00409582,2
149,MAMAN,Manhattan,3 AVENUE,10028,6464767660,Coffee/Tea,40.77541282,-73.95647832,5
150,MAMAN,Manhattan,WEST   25 STREET,10010,6468380700,French,40.7433591,-73.98996389,1
151,MAMAN,Manhattan,EAST   10 STREET,10003,6467670097,French,40.73267949,-73.9936892,1
152,MAMAN,Manhattan,WEST   48 STREET,10036,7184507160,Other,40.75751779,-73.97870345,0
153,MAMAN,Manhattan,WEST BROADWAY,10013,6468828682,Sandwiches/Salads/Mixed Buffet,40.71893369,-74.00652234,4
154,MANI IN PASTA,Manhattan,WEST   39 STREET,10018,6469931653,Pizza,40.75456865,-73.98936303,5
155,Manny's Bistro,Manhattan,COLUMBUS AVENUE,10023,6468820110,French,40.77628934,-73.97959646,1
156,MARINARA,Manhattan,PARK AVENUE SOUTH,10016,6466495282,Pizza,40.74248568,-73.98466996,3
157,MARINARA PIZZA,Manhattan,1 AVENUE,10022,9172612147,Pizza,40.75647394,-73.96426567,5
158,MARINARA PIZZA,Manhattan,2 AVENUE,10003,6468377000,Pizza,40.72985454,-73.98673309,4
159,MASALA KING,Manhattan,EAST   34 STREET,10016,6467670230,Other,40.74746709,-73.98229406,5
160,MCDONALD'S,Manhattan,BROADWAY,10033,9175210827,Hamburgers,40.85007394,-73.93585843,0
161,MCDONALD'S,Manhattan,3 AVENUE,10022,6469186885,Hamburgers,40.75606127,-73.97059696,2
162,MCDONALD'S,Manhattan,BROADWAY,10036,9174095946,Hamburgers,40.75779334,-73.98559409,3
163,MCDONALD'S,Manhattan,EAST   23 STREET,10010,6466829277,Hamburgers,40.74072391,-73.98766917,5
164,MCDONALD'S,Manhattan,8 AVENUE,10001,9142774800,Hamburgers,40.75255704,-73.99317839,5
165,MDC GTG,Manhattan,WORLD TRADE CTR,10007,6464881970,Sandwiches,40.71327345,-74.01281992,5
166,MIGHTY BOWL,Manhattan,LEXINGTON AVENUE,10075,6466929065,Asian/Asian Fusion,40.77391259,-73.95964208,1
167,MIGHTY BOWL,Manhattan,AMSTERDAM AVENUE,10023,6466493196,Asian/Asian Fusion,40.78064536,-73.98012953,1
168,MIGHTY CATCH,Manhattan,COLUMBUS AVENUE,10025,9173883668,Seafood,40.79938769,-73.96276529,0
169,MILK BAR,Manhattan,BROADWAY,10001,8653350037,American,40.74560145,-73.98866072,0
170,MIMI'S PIZZA,Manhattan,EAST   86 STREET,10028,6468612518,Pizza,40.77857082,-73.95338907,1
171,MIMMO,Manhattan,YORK AVENUE,10128,9174095820,Italian,40.77763704,-73.94585785,0
172,MISHKA SOHO,Manhattan,BROOME STREET,10013,9178658001,Middle Eastern,40.72375637,-74.00382061,3
173,MIZNON,Manhattan,HUDSON YARDS,10001,9178820617,Mediterranean,40.75303757,-74.00028153,0
174,MJ SMITH FOOD & SPIRITS,Manhattan,EAST   45 STREET,10017,6462586353,American,40.75516007,-73.9788919,3
175,MOM'S MIDTOWN,Manhattan,9 AVENUE,10019,6466570080,American,40.76232538,-73.98980579,1
176,MONK MCGINNS,Manhattan,MURRAY STREET,10007,9172658961,American,40.71421246,-74.00974674,3
177,MOTORINO,Manhattan,COLUMBUS AVENUE,10024,9176757581,Pizza,40.78551033,-73.97289502,4
178,MS. KIM'S,Manhattan,WEST   28 STREET,10001,7189382223,Korean,40.74491518,-73.98789214,5
179,NAOKI TAKAHASHI,Manhattan,WEST   17 STREET,10011,6468610086,Japanese,40.74193225,-74.00175385,2
180,NAYA,Manhattan,7 AVENUE,10001,6466449901,Lebanese,40.74878293,-73.99224402,1
181,NB WING WONG,Manhattan,BOWERY,10013,6464907468,Chinese,40.71562638,-73.99645402,0
182,NOM WAH,Manhattan,KENMARE ST AKA 168 BOWERY,10012,6467634242,Chinese,40.72044062,-73.99445517,1
183,NOM!,Manhattan,UNIVERSITY PLACE,10003,6465685186,American,40.73316805,-73.99344379,1
184,NORIKOH,Manhattan,WEST   24 STREET,10010,9173791198,Japanese,40.74287609,-73.99068572,3
185,NORMA,Manhattan,9 AVENUE,10019,9176485001,Italian,40.76550907,-73.98748045,3
186,NY Sal's Pizza,Manhattan,EAST   14 STREET,10009,6462454405,Pizza,40.72982318,-73.97894686,1
187,"OPPA , W4 PIZZA",Manhattan,WEST    4 STREET,10014,6464100446,American,40.73193034,-74.00132782,4
188,ORIGINAL NICKY'S,Manhattan,AVENUE A,10009,9294887307,Other,40.72995249,-73.98067148,3
189,OTTO'S TACOS,Manhattan,3 AVENUE,10128,9173882933,Tex-Mex,40.7802175,-73.95297628,1
190,OTTO'S TACOS,Manhattan,SECOND AVENUE,10003,6466784018,Tex-Mex,40.72901197,-73.98737909,1
191,OTTO'S TACOS,Manhattan,9 AVENUE,10019,6469187681,Tex-Mex,40.76242419,-73.98973358,5
192,OTTO'S TACOS,Manhattan,7 AVENUE SOUTH,10014,6466570646,Tex-Mex,40.73450217,-74.00228408,4
193,PADO,Manhattan,2 AVENUE,10003,6464766101,Japanese,40.73134482,-73.98567921,3
194,PALADAR,Manhattan,EAST  112 STREET,10029,6468508094,Brazilian,40.79368152,-73.93778737,4
195,PANDA 148,Manhattan,CATHERINE STREET,10038,9172399908,Chinese,40.71289261,-73.99713592,1
196,PAPA JOHN'S,Manhattan,WEST  207 STREET,10034,7182957272,Pizza,40.86522288,-73.9196176,3
197,PAPAYA DOG,Manhattan,1 AVENUE,10003,6466547010,Hotdogs,40.73156667,-73.98228026,5
198,PARADIS TO GO,Manhattan,4 AVENUE,10003,6464166709,American,40.73261611,-73.99007376,1
199,PASTAFINA PIZZA,Manhattan,3 AVENUE,10010,6466924195,Pizza,40.74036085,-73.98201809,2
200,PHO SHOP,Manhattan,WEST   72 STREET,10023,6468910086,Southeast Asian,40.77803787,-73.98027113,0
201,PINKS CANTINA,Manhattan,CHRYSTIE STREET,10002,6468580186,Mexican,40.72216417,-73.99177814,2
202,Pizza 2 Go,Manhattan,EAST  125 STREET,10035,6467032789,Pizza,40.80476511,-73.93834047,4
203,PIZZA ROLLIO,Manhattan,WEST   58 STREET,10019,6462621438,Pizza,40.76408514,-73.97448854,5
204,PLADO,Manhattan,EAST    2 STREET,10009,6468505151,Mediterranean,40.7223363,-73.98417675,2
205,PLAYA BOWLS,Manhattan,LEXINGTON AVENUE,10022,9172315259,Other,40.75691801,-73.97206567,0
206,PLAYA BOWLS GC,Manhattan,PARK AVENUE,10169,9172315259,"Juice, Smoothies, Fruit Salads",40.75450075,-73.97595043,3
207,PQR,Manhattan,2 AVENUE,10028,9174357736,Pizza,40.77694827,-73.95242617,4
208,PRIMO'S BAR,Manhattan,WEST BROADWAY,10013,9175123432,Italian,40.71558215,-74.00916616,2
209,R2P,Manhattan,CONVENT AVENUE,10031,9142084003,Coffee/Tea,40.81918902,-73.95022087,2
210,RIBALTA MO,Manhattan,PENN PLAZA,10121,6462698671,Italian,40.75000977,-73.99134519,4
211,RINTINTIN,Manhattan,SPRING STREET,10012,6466660114,Mediterranean,40.72134092,-73.99482307,4
212,RIVOLI PIZZA II,Manhattan,HUDSON STREET,10014,7187211583,Pizza,40.73315159,-74.00640105,1
213,Roma Pizza,Manhattan,1 AVENUE,10128,9177709055,Pizza,40.77827498,-73.94836317,1
214,ROTHSCHILD TLV,Manhattan,LEXINGTON AVENUE,10075,9173414169,Jewish/Kosher,40.77450531,-73.95920846,4
215,SAAR INDIAN BISTRO,Manhattan,WEST   51 STREET,10019,6466092142,Indian,40.76240438,-73.9844271,4
216,SAGA,Manhattan,PINE STREET,10005,9175777075,American,40.70630767,-74.00789529,0
217,SAGRA PIZZA BAR,Manhattan,CARMINE STREET,10014,6466308331,Pizza,40.72976739,-74.00421062,5
218,SAHIB,Manhattan,LEXINGTON AVENUE,10016,6465900994,Indian,40.74221094,-73.98278264,4
219,SAIGON SOCIAL,Manhattan,ORCHARD STREET,10002,6466093202,Asian/Asian Fusion,40.72162866,-73.9884195,4
220,SAKAING CRAP,Manhattan,9 AVENUE,10019,6467558793,Seafood,40.76333813,-73.989062,4
221,SAMMY'S HALAL,Manhattan,1 AVENUE,10003,9179652009,Mediterranean,40.72676932,-73.98589667,2
222,SAPITO'S SPORTS CANTINA,Manhattan,BROADWAY,10033,6469227095,Mexican,40.84700111,-73.93819274,3
223,SA'TACOS,Manhattan,DYCKMAN STREET,10034,7183547471,Mexican,40.86591443,-73.92770824,0
224,SAVOR,Manhattan,1 AVENUE,10028,6465245709,Sandwiches,40.77718567,-73.94915836,0
225,SCHMACKARY'S,Manhattan,WEST   45 STREET,10036,6468019866,American,40.75985513,-73.99008051,0
226,SHAKING CRAB,Manhattan,BROADWAY,10025,6172564211,Seafood,40.80511424,-73.96601665,4
227,SHI MIAODAO,Manhattan,SAINT MARKS PLACE,10003,9179167373,Chinese/Japanese,40.72881443,-73.9881729,0
228,SILVANA,Manhattan,WEST  116 STREET,10026,6466924935,Mediterranean,40.80449861,-73.95559232,1
229,SITA THAI,Manhattan,BROADWAY,10031,6469015623,Thai,40.82863582,-73.94884788,3
230,SKORPIOS,Manhattan,EAST   54 STREET,10022,6468532325,Greek,40.76087113,-73.97496626,0
231,SNACK BAR,Manhattan,RIVERSIDE DRIVE,10031,9145575042,Hotdogs,40.82711109,-73.95196018,2
232,Sobak,Manhattan,CANAL STREET,10002,9294018597,Korean,40.71484113,-73.99169968,3
233,SOGNO TOSCANO,Manhattan,PERRY STREET,10014,9175959334,Italian,40.73571261,-74.00212174,3
234,SOHO ROOM,Manhattan,SPRING STREET,10012,9738654093,American,40.72528796,-74.00344909,2
235,SOLA PASTA BAR,Manhattan,WEST BROADWAY,10013,6463015372,Italian,40.72210676,-74.00400811,5
236,SOM BO,Manhattan,8TH AVE,10011,9173856399,Asian/Asian Fusion,40.74175111,-74.0010754,0
237,ST DYMPHNAS,Manhattan,AVENUE A,10009,9175440198,American,40.72630512,-73.98336042,4
238,STK,Manhattan,LITTLE WEST   12 STREET,10014,6466242444,American,40.74001893,-74.00731109,3
239,TACO INN,Manhattan,SAINT NICHOLAS AVENUE,10033,9173882525,Tex-Mex,40.85160332,-73.93206874,3
240,TACO MAHAL,Manhattan,7 AVENUE SOUTH,10014,6467191553,Tex-Mex,40.73228711,-74.00350357,0
241,TACO MIX,Manhattan,EAST  116 STREET,10029,6465810058,Tex-Mex,40.79756332,-73.93914537,0
242,TACO MIX,Manhattan,DELANCEY STREET,10002,9173883977,Tex-Mex,40.7178818,-73.98622322,4
243,TACOMBI,Manhattan,EAST   70 STREET,10021,9292733346,Tex-Mex,40.76831112,-73.96130617,5
244,TACOMBI,Manhattan,BROAD STREET,10004,9172617136,Tex-Mex,40.70464403,-74.01157033,4
245,TACOMBI AT FONDA NOLITA,Manhattan,ELIZABETH STREET,10012,9177270179,Tex-Mex,40.7237892,-73.99372612,0
246,TACOVISION,Manhattan,EAST   53 STREET,10022,6469211990,Tex-Mex,40.7572519,-73.9683585,1
247,TALADWAT,Manhattan,9 AVENUE,10019,6468239815,Thai,40.7626465,-73.98954944,4
248,TANG HOTPOT,Manhattan,BOWERY,10002,9176875934,Asian/Asian Fusion,40.71878828,-73.99465732,1
249,THAI HOT BOX,Manhattan,3 AVENUE,10128,9174091641,Thai,40.78118062,-73.9522787,4
250,TIPSY SCOOP,Manhattan,EAST   26 STREET,10010,9173882862,Frozen Desserts,40.74041009,-73.98099322,0
